source_id;categorie;entreprise_id;titre;organisme;date_publication;url;type_source;niveau_source;objet;perimetre;date_acces;notes
SRC_DGA_C1_001;constitution_panel;;L'industrie de défense au service des ambitions françaises;Direction générale de l'armement (DGA);2025-10-21;https://armement.defense.gouv.fr/lindustrie-de-defense-au-service-des-ambitions-francaises-de-la-maitrise-la-superiorite;institutionnelle;primaire;La DGA cite neuf maîtres d’œuvre industriels : Airbus, Dassault, Thales, Safran, Naval Group, MBDA, KNDS, Arquus et ArianeGroup.;Justification du Cercle 1;2026-08-13;Source de référence pour l'appartenance au Cercle 1.
SRC_AIRBUS_CONTACT_001;implantations;5;Contact us — Defence and Space;Airbus;;https://www.airbus.com/en/airbus-contact-us;corporate;primaire;Adresses publiques de sites Airbus Defence and Space et d'implantations Airbus internationales.;Airbus Defence and Space / Airbus groupe;2026-08-13;La sélection du CSV est volontairement non exhaustive.
SRC_AIRBUS_EF_001;relation_industrielle;5;#EurofighterNextGen - Taking the Eurofighter to the next level;Airbus;2024-03-27;https://www.airbus.com/en/newsroom/stories/2024-03-eurofighternextgen-taking-the-eurofighter-to-the-next-level;corporate;primaire;"Airbus Allemagne/Espagne, BAE Systems et Leonardo forment le consortium Eurofighter ; sites Manching, Getafe, Warton et Turin.";Eurofighter;2026-08-13;
SRC_AIRBUS_NH90_001;relation_industrielle;5;Airbus delivers first Standard 3 configured NH90 to Spain;Airbus;2024-12;https://www.airbus.com/en/newsroom/press-releases/2024-12-airbus-delivers-first-standard-3-configured-nh90-to-spain;corporate;primaire;NHIndustries est une JV formée par Airbus Helicopters, Leonardo Helicopters et GKN Fokker.;NH90;2026-08-13;
SRC_THALES_NL_001;implantations;1;Thales in the Netherlands — About us;Thales;;https://www.thalesgroup.com/en/worldwide/netherlands/about-us;corporate;primaire;Implantation de Hengelo et activités de systèmes navals/radars.;Thales Netherlands;2026-08-13;
SRC_THALES_DE_001;implantations;1;Thales in Germany — Policies & Governance;Thales;;https://www.thalesgroup.com/en/worldwide/germany/policies-governance;corporate;primaire;Adresse publique de Thales Allemagne à Ditzingen.;Thales Germany;2026-08-13;
SRC_THALES_AU_001;implantations;1;Thales in Australia — About us;Thales;;https://www.thalesgroup.com/en/worldwide/australia/about-us;corporate;primaire;Bendigo : véhicules protégés Bushmaster et Hawkei.;Thales Australia;2026-08-13;
SRC_THALES_LITH_001;implantations;1;Thales Australia opens new advanced manufacturing facility;Thales;2023-09-01;https://www.thalesgroup.com/en/news-centre/press-releases/thales-australia-welcomes-minister-defence-industry-open-new-advanced;corporate;primaire;Lithgow Arms : capacité australienne de fabrication d'armes légères.;Thales Australia / Lithgow Arms;2026-08-13;
SRC_THALES_RBE2_001;relation_industrielle;1;RBE2 AESA;Thales;;https://www.thalesgroup.com/en/solutions-catalogue/defence/air/rbe2-aesa;corporate;primaire;RBE2 AESA développé en étroite collaboration avec Dassault Aviation et la DGA.;Rafale;2026-08-13;
SRC_THALES_SEAFIRE_001;relation_industrielle;1;Thales digital radar, Sea Fire, qualified and ready for integration;Thales;2021-10-27;https://www.thalesgroup.com/en/news-centre/press-releases/thales-digital-radar-sea-fire-qualified-and-ready-integration-frances;corporate;primaire;Sea Fire prêt pour intégration par Naval Group sur la FDI.;FDI;2026-08-13;
SRC_THALES_SAMPT_001;relation_industrielle;1;Thales is a major contributor to the success of SAMP/T NG;Thales;2025-09-15;https://www.thalesgroup.com/en/news-centre/press-releases/thales-major-contributor-success-samp/t-ng-selected-danish-ministry;corporate;primaire;Thales se décrit comme intégrateur du SAMP/T NG en collaboration avec MBDA.;SAMP/T NG;2026-08-13;
SRC_THALES_SFO_001;relation_industrielle;1;Thales awards SFO Technologies RBE2 radar wired structures contract;Thales;2025-12-15;https://www.thalesgroup.com/en/news-centre/press-releases/thales-awards-sfo-technologies-rbe2-radar-wired-structures-contract;corporate;primaire;Contrat de structures câblées du radar RBE2 à SFO Technologies dans le cadre Make in India.;Rafale / RBE2 / Inde;2026-08-13;Relation sourcée mais partenaire non cartographié dans cette V1 faute de site primaire suffisamment précis.
SRC_DASSAULT_HIGHLIGHTS_001;implantations;2;2025-2026 Highlights;Dassault Aviation;2026;https://www.dassault-aviation.com/en/group/about-us/highlights/;corporate;primaire;DRAL à Nagpur et partenariat Tata/Hyderabad pour le Rafale.;Dassault Aviation groupe;2026-08-13;"DRAL/Nagpur est principalement décrit comme centre Falcon ; ne pas le présenter comme site Rafale sans source spécifique."
SRC_DASSAULT_TATA_001;relation_industrielle;2;Dassault Aviation partners with Tata Advanced Systems to manufacture Rafale fighter aircraft fuselage;Dassault Aviation;2025-06-05;https://www.dassault-aviation.com/en/group/press/press-kits/dassault-aviation-partners-with-tata-advanced-systems-to-manufacture-rafale-fighter-aircraft-fuselage-for-india-and-other-global-markets/;corporate;primaire;"Quatre accords de transfert de production ; installation TASL dédiée au fuselage Rafale à Hyderabad ; premières sections attendues FY2028.";Rafale / Inde;2026-08-13;Le site est un site Tata Advanced Systems, pas une implantation Dassault Aviation.
SRC_SAFRAN_LOC_001;implantations;3;Locations;Safran;;https://www.safran-group.com/locations;corporate;primaire;Adresses et types de sites Safran Electronics & Defense à l'international.;Safran Electronics & Defense;2026-08-13;Sélection non exhaustive.
SRC_SAFRAN_HYD_001;implantations;3;Safran steps up expansion in India for civil and military aviation;Safran;2025-11-26;https://www.safran-group.com/pressroom/safran-steps-expansion-india-civil-and-military-aviation-and-deepens-commitment-make-india-2025-11-26;corporate;primaire;"Annonce d'un centre MRO M88 à Hyderabad ; 5 000 m², >40 M€, >600 modules/an à terme.";Safran Aircraft Engines / M88 / Inde;2026-08-13;"Projet annoncé ; ne pas présenter comme opérationnel sans source d'ouverture."
SRC_SAFRAN_M88_001;relation_industrielle;3;M88 - Proven performance and reliability;Safran;;https://www.safran-group.com/products-services/m88-proven-performance-and-reliability;corporate;primaire;Le M88 Safran motorise le Rafale de Dassault Aviation.;Rafale;2026-08-13;
SRC_SAFRAN_H160M_001;relation_industrielle;3;Safran to provide engines and other equipment on H160M;Safran;2022-01-13;https://www.safran-group.com/pressroom/safran-provide-engines-and-other-equipment-h160m-and-h160-helicopters-french-armed-forces-and-2022-01-13;corporate;primaire;Safran fournit notamment le moteur Arrano au H160M d'Airbus Helicopters.;H160M Guépard;2026-08-13;
SRC_SAFRAN_LECLERC_001;relation_industrielle;3;Nexter, a company of KNDS, and Safran to develop two new sights for the renovated Leclerc tank;Safran;2024-02-08;https://www.safran-group.com/pressroom/nexter-company-knds-and-safran-develop-two-new-sights-renovated-leclerc-tank-2024-02-08;corporate;primaire;Coopération KNDS/Nexter–Safran pour les viseurs du Leclerc XLR.;Leclerc XLR;2026-08-13;
SRC_BLIKSEM_001;relation_industrielle;;European defence companies sign Letter of Intent to establish the Bliksem EXO Consortium;Safran / consortium;2026-07-14;https://www.safran-group.com/pressroom/european-defence-companies-sign-letter-intent-establish-bliksem-exo-consortium-europe-s-exo-2026-07-15;corporate;primaire;LOI Airbus Defence and Space, Destinus, MBDA Deutschland, Safran Electronics & Defense et Thales.;Bliksem EXO;2026-08-13;LOI non contraignante : elle ne crée pas d'obligation de procurement, supply ou financement.
SRC_NAVAL_WORLD_001;implantations;4;Responsible and sustainable international development;Naval Group;;https://www.naval-group.com/en/implantations;corporate;primaire;Naval Group indique opérer dans 17 pays et liste ses présences internationales.;Naval Group groupe;2026-08-13;Le CSV n'en reprend qu'une sélection structurante.
