entreprise,champ,gravite,statut,constat,action,source_url
AIRBUS,ca_defense_label,élevée,à corriger,"Le CSV utilise 13,405 Md€ (CA Airbus Defence and Space) comme proxy défense. Airbus publie aussi un chiffre consolidé « thereof defence » de 14,244 Md€ pour 2025.","Afficher 14,244 Md€ comme CA consolidé déclaré « defence » et conserver 13,405 Md€ séparément comme CA du segment Airbus Defence and Space.",https://www.airbus.com/en/newsroom/press-releases/2026-02-airbus-reports-full-year-fy-2025-results
NAVAL GROUP,nb_etablissements_france_public_label,élevée,à corriger,Le CSV indique 10 sites principaux en France ; la page corporate actuelle affiche 9 sites en France.,"Mettre à jour le chiffre public à 9, tout en conservant séparément le nombre de lignes cartographiées/SIRENE.",https://www.naval-group.com/fr/naval-group
NAVAL GROUP,ca_defense_label,moyenne,à actualiser,"Le texte contient encore environ 4,35 Md€ alors que le chiffre d’affaires 2025 publié est 4,679 Md€.","Remplacer le montant générique par 4,679 Md€ (2025) si l’indicateur affiché vise le dernier CA annuel.",https://www.naval-group.com/fr/naval-group
TECHNICATOME,ca_defense_label,moyenne,à actualiser,Le texte mentionne environ 662 M€ alors que les résultats 2025 publiés donnent 683 M€.,Mettre à jour le CA total récent à 683 M€ (2025) ; ne pas le qualifier de CA défense pur.,https://www.technicatome.com/actualites/resultats-financiers-technicatome-poursuit-sa-trajectoire/
ARESIA,nb_etablissements_france_public_label,moyenne,à revalider,"Le CSV indique 14 sites en France. La page RSE ARESIA mentionne 13 sites, tandis que la page Contact liste 14 implantations/adresses.",Définir le périmètre exact (sites opérationnels vs implantations/contact) et afficher le libellé correspondant plutôt qu’un nombre ambigu.,https://aresia.com/contact/
CNIM SYSTÈMES INDUSTRIELS,effectif_label,élevée,à corriger,Le CSV indique environ 430 salariés. Le profil corporate affiche 400 collaborateurs.,"Remplacer par 400 collaborateurs, avec date de consultation.",https://www.cnim-systemes-industriels.com/qui-sommes-nous/profil
CNIM SYSTÈMES INDUSTRIELS,ca_defense_label,élevée,à revalider / masquer,Le montant ~128 M€ n’a pas été retrouvé sur une source primaire corporate suffisamment précise lors de l’audit.,"Masquer ce montant du dashboard tant qu’un compte publié, rapport ou source institutionnelle précise n’est pas attaché.",https://www.cnim-systemes-industriels.com/qui-sommes-nous/profil
DAHER,ca_defense_label,moyenne,période à préciser,"Les 15,5 % / 300 M€ correspondent explicitement à 2024, pas à 2025.","Afficher « Défense : 15,5 % du CA 2024, soit 300 M€ » ; ne pas le présenter comme chiffre 2025.",https://www.daher.com/daher-monte-en-puissance-sur-le-marche-en-pleine-croissance-de-la-defense/
ROXEL,indicateurs_financiers_label,moyenne,projection à distinguer,"Le passage vers ~300 M€ est un objectif/ordre de grandeur annoncé, pas un CA réalisé au même titre que le CA 2024.",Afficher distinctement Réalisé vs Objectif/Projection et dater la cible.,https://www.roxelgroup.com/
ALCEN,effectif_label,élevée,à revalider / masquer,L’ordre de grandeur ~1 000 collaborateurs repose sur des bases professionnelles et non sur une publication consolidée suffisamment précise du groupe.,Ne pas afficher comme chiffre exact ; conserver « non communiqué consolidé » tant qu’une source primaire n’est pas trouvée.,https://www.alcen.com/
