entreprise_id,slug,entreprise,cercle,type_acteur_panel,chaine_valeur_principale_id,chaine_valeur_secondaire_ids,secteur_principal,specialite,positionnement_industriel,ce_qu_il_faut_retenir,capacites_cles,nature_analyse,source_industrielle_id,source_methodologie_chaine_valeur,derniere_verification,afficher_dashboard
1,thales,THALES,1,Grand maître d'œuvre industriel — identification DGA,CV01,CV03;CV07,Électronique & C4ISR,"Électronique de défense, radars, C4ISR, sonars, guerre électronique, optronique, cybersécurité et systèmes spatiaux","Thales est le grand systémier français de l'électronique de défense : il assemble et intègre des suites de capteurs, des systèmes de mission et des architectures de commandement pour les trois armées. Son rôle d'ensemblier se manifeste notamment sur les systèmes de combat navals (frégates FDI, sous-marins), les systèmes de défense aérienne (SAMP/T NG), l'avionique du Rafale et les réseaux de commandement interarmées.","Thales est l'architecte des systèmes d'information et de combat de la défense française. Sa force réside dans la capacité à faire dialoguer capteurs, liaisons sécurisées, systèmes de décision et effecteurs au sein d'architectures intégrées complexes. Sans cette brique d'intégration système, les plateformes françaises perdraient leur cohérence opérationnelle.",Radars & veille aérienne;Sonars & guerre sous-marine;C4ISR & réseaux de commandement;Guerre électronique;Communications sécurisées;Cybersécurité,synthese_analytique_documentee,SRC0005,SRC_IDENTITE_ECODEF279,2026-08-12,true
2,dassault-aviation,DASSAULT AVIATION,1,Grand maître d'œuvre industriel — identification DGA,CV01,CV07,Aéronautique de combat,"Avions de combat, maîtrise d'œuvre d'avions de mission et soutien en service","Dassault Aviation est le maître d'œuvre de la plateforme Rafale et le pilier de la souveraineté aéronautique militaire française. Il conçoit, intègre, teste et soutient des avions de combat en maîtrisant l'architecture d'ensemble, l'aérodynamique, les commandes de vol et l'intégration des systèmes d'armes. Sa position d'ensemblier est d'autant plus rare qu'il maîtrise l'ensemble du cycle de vie de la plateforme.","Dassault Aviation détient l'une des rares compétences mondiales de maîtrise d'œuvre d'un avion de combat de cinquième génération. Cette position implique la maîtrise de l'aérodynamique d'un avion furtif, des commandes de vol, de l'intégration des capteurs et armements, ainsi que du soutien en service sur la durée. C'est une capacité difficile à reconstituer une fois perdue.",Intégration avion de combat;Aérodynamique & commandes de vol;Architecture cellule;Intégration systèmes d'armes;Tests & essais en vol;Maîtrise d'œuvre Rafale,synthese_analytique_documentee,SRC0008,SRC_IDENTITE_ECODEF279,2026-08-12,true
3,safran,SAFRAN,1,Grand maître d'œuvre industriel — identification DGA,CV03,CV04,Propulsion & équipements de défense,"Propulsion militaire, optronique, navigation inertielle et équipements de plateformes","Safran est, dans notre lecture fonctionnelle, un grand équipementier / fournisseur de systèmes : il livre des moteurs (M88), des systèmes de navigation inertielle, des équipements optroniques et des briques de guidage qui s'intègrent dans les plateformes conçues par d'autres maîtres d'œuvre. Sa présence dans le Cercle 1 reflète son identification institutionnelle par la DGA comme grand maître d'œuvre, qui traduit l'ampleur de ses responsabilités contractuelles et la criticité de ses fournitures, sans préjuger de sa position fonctionnelle dans la chaîne de valeur.","Safran illustre parfaitement la distinction entre statut institutionnel et position fonctionnelle : identifié comme grand maître d'œuvre par la DGA, il est dans les faits le principal équipementier critique de la propulsion et de la navigation pour les armées françaises. Sa maîtrise du moteur M88, de l'inertiel et de l'optronique est aussi souveraine que celle d'un intégrateur de plateforme.",Propulsion militaire (M88);Navigation inertielle & guidage;Optronique & vision nocturne;Drones & systèmes autonomes;Équipements aéronautiques de défense;Viseurs & systèmes de ciblage,synthese_analytique_documentee,SRC0012,SRC_IDENTITE_ECODEF279,2026-08-12,true
4,naval-group,NAVAL GROUP,1,Grand maître d'œuvre industriel — identification DGA,CV01,CV06,Construction navale militaire,"Sous-marins, bâtiments de combat, systèmes de combat navals et soutien en service","Naval Group est le maître d'œuvre naval militaire français. Il conçoit, construit et intègre des sous-marins nucléaires, des frégates et des bâtiments de surface, en maîtrisant l'architecture navale d'ensemble, les systèmes de combat, la propulsion et les intégrations complexes. Il assure également le MCO des forces sous-marines et de surface de la Marine nationale.","Naval Group est le garant de la souveraineté navale militaire française. La construction des sous-marins nucléaires (Barracuda, SNLE 3G) et des frégates de premier rang (FDI) repose sur une maîtrise d'ensemble que très peu d'industriels mondiaux détiennent. Cette capacité ne peut s'entretenir qu'en maintenant des programmes actifs et des compétences organisées.",Construction de sous-marins;Intégration systèmes navals de combat;Propulsion navale;Frégates & bâtiments de surface;MCO naval;Architecture navale militaire,synthese_analytique_documentee,SRC0015,SRC_IDENTITE_ECODEF279,2026-08-12,true
5,airbus,AIRBUS,1,Grand maître d'œuvre industriel — identification DGA,CV01,CV03,Aéronautique & spatial de défense,"Avions militaires de transport, hélicoptères, spatial, systèmes de combat aérien et satellites de défense","Airbus est en France un acteur clé de l'aéronautique de défense au travers de ses divisions Defence & Space et Helicopters. Il assure la maîtrise d'œuvre de l'A400M, la production de l'A330 MRTT et le développement du SCAF/NGF. Il fournit par ailleurs des équipements et systèmes spatiaux pour la défense française.","La présence d'Airbus en France structure des pans entiers de la capacité de transport stratégique et de ravitaillement en vol. Ses activités Defence & Space apportent également des compétences souveraines en matière de satellites de reconnaissance et de communications sécurisées, essentielles à l'autonomie stratégique française.",Transport militaire stratégique (A400M);Ravitaillement en vol (MRTT);Hélicoptères militaires;Satellites de défense;Systèmes de combat aérien futurs (SCAF),synthese_analytique_documentee,SRC0020,SRC_IDENTITE_ECODEF279,2026-08-12,true
6,mbda,MBDA,1,Grand maître d'œuvre industriel — identification DGA,CV02,CV03;CV05,Missiles & effecteurs guidés,"Systèmes de missiles tactiques et stratégiques, missiles air-air, air-sol, anti-navire et défense sol-air","MBDA est le maître d'œuvre européen des systèmes de missiles et le seul industriel français disposant d'une compétence complète sur l'ensemble des familles de missiles. Il conçoit, développe et produit des missiles à longue portée, des systèmes de défense aérienne, des missiles anti-navire et des armements air-sol de précision pour toutes les forces armées françaises.","MBDA est l'un des rares industriels mondiaux capables de proposer une gamme complète de systèmes de missiles, couvrant toutes les fonctions opérationnelles. Sa position est stratégiquement indispensable : les missiles représentent la masse des munitions guidées employées par les armées françaises, et leur conception intégrée (guidage, propulsion, charge militaire) mobilise des savoir-faire que la France ne peut externaliser.","Missiles air-air (Meteor, MICA);Missiles air-sol (SCALP, AASM);Missiles anti-navire (Exocet, ANL);Défense sol-air (VL MICA, Aster);Missiles balistiques air-sol nucléaires (ASN4G);Guidage & ogives",synthese_analytique_documentee,SRC0024,SRC_IDENTITE_ECODEF279,2026-08-12,true
7,knds-france,KNDS FRANCE,1,Grand maître d'œuvre industriel — identification DGA,CV01,CV08,Armement terrestre,"Chars de combat, canons d'artillerie et systèmes blindés de défense","KNDS France (anciennement Nexter) est le maître d'œuvre français des systèmes blindés de combat. Il conçoit, produit et soutient les chars Leclerc, les canons CAESAR et les véhicules de la gamme Titus/Griffon pour les forces terrestres. Il porte la compétence nationale souveraine en matière de char de combat et d'artillerie automotrice.","KNDS France détient les clés de la souveraineté de l'armement blindé français. Sa maîtrise du char Leclerc, du canon CAESAR et de la future plateforme MGCS représente un savoir-faire industriel rare en Europe, à l'intersection de la mécanique de précision, de la balistique et de l'intégration électronique embarquée sur blindés.","Chars de combat (Leclerc, MGCS);Artillerie automotrice (CAESAR);Véhicules blindés de combat;Tourelles & systèmes d'armes embarqués;MCO chars & blindés;Munitions de gros calibre",synthese_analytique_documentee,SRC0028,SRC_IDENTITE_ECODEF279,2026-08-12,true
8,arianegroup,ARIANEGROUP,1,Grand maître d'œuvre industriel — identification DGA,CV02,CV05,Propulsion balistique & lanceurs spatiaux,"Missile balistique M51, propulsion spatiale et lanceurs Ariane","ArianeGroup est le maître d'œuvre du missile balistique mer-sol M51, pilier de la composante océanique de la dissuasion nucléaire française. Il maîtrise l'ensemble de la filière : propergols solides, propulsion liquide, guidage inertiel, coiffe et réintégration. Il assure également la maîtrise d'œuvre des lanceurs Ariane pour le compte de l'ESA, ce qui entretient des compétences spatiales duales.","ArianeGroup porte une responsabilité absolument singulière dans la défense française : celle du missile balistique M51, vecteur de la dissuasion océanique. Cette position de maître d'œuvre balistique implique une maîtrise verticalement intégrée des propergols, de la propulsion, du guidage et des têtes de rentrée. Sa préservation est une exigence de souveraineté nucléaire.",Missile balistique M51 (dissuasion);Propergols solides balistiques;Propulsion spatiale (Ariane 6);Guidage inertiel balistique;Coiffes & réintégration SNLE,synthese_analytique_documentee,SRC0032,SRC_IDENTITE_ECODEF279,2026-08-12,true
9,arquus-john-cockerill-defense,ARQUUS – JOHN COCKERILL DEFENSE,1,Grand maître d'œuvre industriel — identification DGA,CV03,CV08,Véhicules & systèmes terrestres,"Véhicules militaires blindés et roues, systèmes d'armes terrestres et soutien logistique","Arquus est le principal fournisseur français de véhicules militaires blindés à roues et logistiques. Il conçoit et produit les porteurs des familles Griffon, Jaguar, VBMR et VHM, et assure le MCO du parc de l'Armée de terre. John Cockerill Defense contribue des tourelles et systèmes d'armes intégrés dans ces véhicules.","Arquus et John Cockerill Defense sont les fournisseurs-clés de la mobilité tactique et de la puissance de feu des forces terrestres françaises. La livraison des véhicules du programme SCORPION — Griffon, Jaguar, VBMR Léger — les positionne au cœur de la modernisation de l'Armée de terre pour les deux prochaines décennies.","Véhicules blindés à roues (Griffon, Jaguar);Porteurs logistiques militaires;Tourelles & systèmes d'armes embarqués;MCO véhicules terrestres;Systèmes d'armes programme SCORPION",synthese_analytique_documentee,SRC0035,SRC_IDENTITE_ECODEF279,2026-08-12,true
10,chantiers-de-latlantique,CHANTIERS DE L'ATLANTIQUE,2,Acteur industriel structurant — sélection éditoriale documentée,CV08,CV01,Construction navale,"Construction de grands navires, bâtiments de projection et navires de soutien","Chantiers de l'Atlantique est le principal constructeur naval civil français, dont les capacités de production de grands bâtiments sont dualement utiles pour la défense. Ils construisent les bâtiments de ravitaillement et de soutien (FLOTLOG/BRF) et maintiennent des compétences industrielles critiques de construction navale lourde qui renforcent la base industrielle navale nationale.",Les Chantiers de l'Atlantique sont un réservoir de compétences industrielles navales lourdes au service de la France. Leur capacité à construire des bâtiments de grande taille — illustrée par les navires de soutien FLOTLOG — constitue un actif industriel rare que la défense française peut activer pour des besoins de projection ou de soutien logistique en mer.,Construction navale de grands bâtiments;Bâtiments de ravitaillement & soutien (FLOTLOG);Outillage & infrastructures navales;Systèmes propulsifs navals;Intégration navale,synthese_analytique_documentee,SRC0040,SRC_IDENTITE_ECODEF279,2026-08-12,true
