id,slug,entreprise,categorie,secteur_principal,specialite,secteurs,description,siege_ville,siege_departement,siege_region,siege_latitude,siege_longitude,effectif_label,nb_etablissements_france_public,nb_etablissements_france_public_label,nb_sites_cartographies,nb_regions_cartographiees,couverture_cartographique,statut_couverture,book_to_bill,book_to_bill_perimetre,ratio_carnet_ca,ratio_carnet_ca_perimetre,marge_pct,marge_type,ca_defense_label,carnet_commandes_label,indicateurs_financiers_label,actionnariat,programmes,code_ape,site_web,source_principale,source_implantations,source_coordonnees,perimetre_cartographique,date_reference,nb_sites_referentiel_initial,nb_lignes_sirene_actives,nb_nouveaux_etablissements_sirene,nb_sirene_sans_signe_bitd,nb_sirene_a_confirmer,nb_etablissements_v2_total,nb_etablissements_affiches_par_defaut,couverture_sirene_v2
1,thales,THALES,Grand maître d’œuvre / systémier,Électronique & C4ISR,"Électronique de défense, radars, C4ISR, sonars, cyber et spatial","Électronique, C4ISR, radars, sonars, guerre électronique, optronique, communications sécurisées, cyber, spatial.","Thales est le grand systémier français de l’électronique de défense : capteurs, radars, sonars, communications tactiques, guerre électronique, optronique, cybersécurité et systèmes spatiaux. Le groupe équipe les trois armées françaises et de nombreuses forces alliées, avec une présence critique sur le Rafale, la défense aérienne SAMP/T NG, les frégates et sous-marins, ainsi que les réseaux de commandement. Sa maîtrise des capteurs, des liaisons sécurisées et de la chaîne de décision lui confère un rôle souverain majeur dans la supériorité informationnelle et la conduite des opérations.",Meudon,Hauts-de-Seine,Île-de-France,48.804,2.227,Groupe : plus de 85 000 collaborateurs dans le monde ; défense : non communiqué séparément (activité Défense & Sécurité parmi les trois grands métiers du groupe).,44,44 sites en France (groupe),51,10,51 sites cartographiés (référentiel initial 27 + 24 issus de SIRENE) ; total public annoncé : 44,couverture_strategique_partielle,1.24,Défense,3.4,Défense,12.4,Marge EBIT ajusté groupe,"Non isolé publiquement en un montant “défense France”. Le groupe a réalisé 22,136 Md€ de chiffre d’affaires en 2025 (les prises de commandes, elles, atteignent 25,264 Md€) ; la Défense & Sécurité constitue l’un de ses principaux segments.","Carnet groupe 53,323 Md€ fin 2025 ; carnet du segment Défense 41,6 Md€, soit environ 3,4 années de CA Défense. Prises de commandes Défense 2025 : 15,128 Md€.","Marge d’EBIT ajusté groupe : 12,4 % ; Book-to-bill Défense : 1,24x ; Carnet Défense / CA Défense : 3,40x ; Free operating cash-flow : 2,577 Md€ ; dette nette : 1,618 Md€","Secteur public français 26,60 %, Dassault Aviation 26,59 %, salariés 2,93 %, autodétention 0,28 %, autres actionnaires 43,60 % (structure au 30 juin 2025). Un pacte d’actionnaires organise le contrôle conjoint du secteur public et de Dassault Aviation ; l’État détient en outre une action spécifique.","Rafale (radar RBE2 AESA, avionique et capteurs), SAMP/T NG (radar Ground Fire), SCORPION, FDI (Sea Fire), sonars CAPTAS, communications tactiques et charges utiles satellitaires militaires.",70.10Z – Activités des sièges sociaux pour Thales SA ; les filiales industrielles portent des codes spécialisés selon leur activité.,https://www.thalesgroup.com/,https://www.thalesgroup.com/,https://careers.thalesgroup.com/global/en/france-careers,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,27,43,24,0,1,51,51,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
2,dassault-aviation,DASSAULT AVIATION,Grand maître d’œuvre / systémier,Aéronautique,Avions de combat et systèmes aéronautiques militaires,"Aéronautique de combat, avions de mission, systèmes de combat aérien, ingénierie et soutien en service.","Dassault Aviation est le maître d’œuvre du Rafale et l’un des piliers de la souveraineté aéronautique militaire française. L’entreprise conçoit, intègre, produit et soutient des avions de combat ainsi que des avions de mission, pour l’Armée de l’air et de l’espace, la Marine nationale et des clients export. Elle détient des compétences souveraines rares en architecture d’avion de combat, intégration de systèmes d’armes, aérodynamique, commandes de vol et maîtrise d’œuvre de programmes complexes.",Saint-Cloud,Hauts-de-Seine,Île-de-France,48.843,2.209,Environ 14 600 collaborateurs au niveau groupe (dernier effectif annuel public consolidé facilement comparable) ; défense : non ventilé en effectifs.,,14 établissements actifs recensés pour l’unité légale Dassault Aviation dans le répertoire public français.,15,6,15 sites cartographiés (référentiel initial 9 + 6 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,1.47,Groupe,6.3,Groupe,14.3,Marge nette ajustée,"4,645 Md€ en 2025, soit environ 62,6 % du chiffre d’affaires ajusté consolidé 2025 de 7,420 Md€.","Carnet de commandes fin 2025 : 46,6 Md€ ; prises de commandes 10,9 Md€ ; CA 7,4 Md€. Le carnet comprend notamment 220 Rafale et 73 Falcon.","Carnet / CA : 6,30x ; Book-to-bill : 1,47x ; Marge nette ajustée : 14,3 % ; Trésorerie disponible : environ 9,4 Md€","Groupe Industriel Marcel Dassault 66,86 %, Airbus 10,65 %, flottant 21,63 %, autodétention 0,86 % au 30 juin 2026. Le contrôle familial est très majoritaire, avec présence d’Airbus au capital.","Rafale F4/F5, préparation du standard post-F4 et du combat collaboratif, SCAF/NGF, démonstrateur nEUROn, AVSIMAR / Falcon 2000 Albatros.",30.30Z – Construction aéronautique et spatiale.,https://www.dassault-aviation.com/,https://www.dassault-aviation.com/,https://carriere.dassault-aviation.com/accueil.aspx?LCID=1036,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,9,14,6,0,3,15,15,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
3,safran,SAFRAN,Grand maître d’œuvre / systémier,Propulsion & équipements,"Propulsion militaire, optronique, navigation inertielle et équipements","Propulsion, optronique, navigation inertielle, guidage, drones, équipements de plateformes aériennes et terrestres.","Safran fournit plusieurs briques critiques des capacités militaires françaises : moteurs, navigation inertielle, optronique, guidage, systèmes de drones et équipements aéronautiques. Il est notamment le motoriste du Rafale avec le M88 et un fournisseur majeur de capteurs et de systèmes de visée pour les forces terrestres, aériennes et navales. Son rôle souverain tient à la maîtrise de la propulsion militaire, de l’inertiel, de l’optronique et de chaînes de production à forte intensité technologique.",Paris,Paris,Île-de-France,48.8589,2.347,"Plus de 110 000 collaborateurs dans le monde ; la branche Équipements & Défense compte environ 55 300 collaborateurs, mais elle inclut aussi des activités civiles.",115,115 établissements en France (groupe),62,12,62 sites cartographiés (référentiel initial 37 + 25 issus de SIRENE) ; total public annoncé : 115,couverture_strategique_partielle,,,,,16.6,Marge opérationnelle courante ajustée groupe,"Le groupe ne publie pas un chiffre d’affaires “défense” pur. La branche Équipements & Défense a réalisé 12,3 Md€ de CA en 2025, montant qui comprend également des équipements aéronautiques civils.","Le groupe ne publie pas un carnet consolidé homogène directement comparable pour toutes ses activités Défense. La visibilité est néanmoins élevée sur le M88, l’AASM et les équipements de navigation/optronique, avec une forte hausse des cadences annoncée.","CA ajusté 2025 : 31,329 Md€ ; Résultat opérationnel courant ajusté : 5,197 Md€ ; Marge opérationnelle courante : 16,6 % ; Free cash-flow : 3,921 Md€, soit environ 12,5 % du CA","État français 11,72 %, salariés 5,55 %, autodétention 0,34 %, public 82,39 % au 31 décembre 2025. L’État dispose d’une présence structurante dans la gouvernance.","Rafale / M88, AASM HAMMER, Euroflir 410, drone Patroller, viseurs et optronique de SCORPION, systèmes de navigation pour plateformes stratégiques.",70.10Z – Activités des sièges sociaux pour Safran SA ; les sociétés industrielles du groupe disposent de codes APE métiers.,https://www.safran-group.com/,https://www.safran-group.com/,https://www.safran-group.com/fr/implantations,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,37,44,25,0,6,62,62,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
4,naval-group,NAVAL GROUP,Grand maître d’œuvre / systémier,Naval,"Sous-marins, bâtiments de combat et systèmes navals","Naval, sous-marins, systèmes de combat, propulsion et intégration, MCO, infrastructures et services navals.","Naval Group est le maître d’œuvre naval militaire français pour les sous-marins, les bâtiments de surface et une grande partie des systèmes de combat associés. Il travaille principalement pour la DGA et la Marine nationale, tout en exportant frégates, sous-marins et services. Son rôle souverain est central pour la dissuasion océanique, la construction des sous-marins nucléaires et la capacité française à concevoir et entretenir une marine de premier rang.",Paris,Paris,Île-de-France,48.8589,2.347,Environ 17 000 collaborateurs ; l’activité est très majoritairement défense.,,10 sites principaux en France.,15,6,15 sites cartographiés (référentiel initial 12 + 3 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,,,6.84,Groupe,,,"Environ 4,35 Md€ de chiffre d’affaires récent, activité quasi intégralement navale de défense.","CA 2025 : 4,679 Md€ ; carnet de commandes : environ 32 Md€ ; prises de commandes 2025 : 18,926 Md€.","Carnet / CA : 6,84x ; Prises de commandes / CA 2025 : 4,05x (année marquée par de très gros contrats pluriannuels) ; Ratios de dette/marge détaillés : non publiés de façon homogène dans le communiqué synthétique","État français 62,25 %, Thales 35 %, FCPE salariés 1,64 %, autodétention 1,09 %, salariés en direct 0,02 % (dernière ventilation publique détaillée). Contrôle public majoritaire.","Sous-marins Barracuda / classe Suffren, SNLE 3G, frégates FDI, porte-avions de nouvelle génération (PA-NG), FLOTLOG/BRF, MCO des forces sous-marines et de surface.",30.11Z – Construction de navires et de structures flottantes.,https://www.naval-group.com/,https://www.naval-group.com/,https://www.naval-group.com/fr/implantations,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,12,13,3,0,0,15,14,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
5,airbus,AIRBUS,Grand maître d’œuvre / systémier,Aéronautique & spatial,"Aviation militaire, hélicoptères, spatial et systèmes ISR","Aéronautique militaire, hélicoptères, spatial, ISR, communications, drones et systèmes de mission.","Airbus est un acteur majeur de la BITD française via Airbus Defence and Space et Airbus Helicopters. Il fournit des avions de transport et de ravitaillement, des hélicoptères militaires, des satellites d’observation et de télécommunications ainsi que des systèmes ISR et de connectivité. La France s’appuie sur ses capacités industrielles pour la projection stratégique, le ravitaillement en vol, l’aéromobilité et une partie de ses moyens spatiaux souverains.",Blagnac,Haute-Garonne,Occitanie,43.642,1.379,165 294 collaborateurs au niveau groupe fin 2025 ; effectif défense non communiqué séparément.,46,46 implantations en France (groupe),31,6,31 sites cartographiés (référentiel initial 13 + 18 issus de SIRENE) ; total public annoncé : 46,couverture_strategique_partielle,1.32,Airbus Defence and Space,3.79,Airbus Defence and Space,6.0,Marge EBIT ajusté Airbus Defence and Space,"13,405 Md€ en 2025 pour Airbus Defence and Space. Ce montant inclut le spatial civil et ne comprend pas isolément les ventes militaires d’Airbus Helicopters ; il constitue donc un proxy documenté, non un CA défense pur.","Airbus Defence and Space : CA 2025 13,405 Md€, prises de commandes 17,729 Md€, carnet 50,771 Md€. Le groupe publie par ailleurs un carnet 'Defence' d’environ 61,395 Md€ selon son périmètre de reporting.","Marge EBIT ajusté Airbus Defence and Space : ~6,0 % ; Book-to-bill ADS : 1,32x ; Carnet ADS / CA ADS : 3,79x ; Trésorerie nette groupe fin 2025 : 12,171 Md€","Société cotée à actionnariat largement diffus, avec participations publiques stratégiques française, allemande et espagnole. La France agit notamment via SOGEPA ; les droits spécifiques et accords intergouvernementaux protègent les intérêts souverains.","A400M Atlas, A330 MRTT Phénix, H160M Guépard, NH90, Tigre, Eurodrone, satellites militaires d’observation et de télécommunications.","30.30Z – Construction aéronautique et spatiale pour Airbus Defence and Space SAS, entité opérationnelle de référence.",https://www.airbus.com/,https://www.airbus.com/,https://www.airbus.com/en/our-worldwide-presence/airbus-in-europe/airbus-in-france,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,13,30,18,0,9,31,31,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
6,mbda,MBDA,Grand maître d’œuvre / systémier,Missiles,"Missiles, effecteurs et défense aérienne","Missiles, défense aérienne, frappe dans la profondeur, antinavire, antichar, effecteurs air-air et systèmes de combat collaboratif.","MBDA est le champion européen des missiles et l’un des acteurs les plus critiques de la souveraineté française en matière d’effecteurs. Le groupe conçoit et produit des missiles air-air, air-sol, antinavires, antichars, de croisière et de défense aérienne pour les armées françaises et de nombreux clients alliés. Sa position dans les chaînes de guidage, de propulsion, d’autodirecteurs et d’intégration de missiles en fait un fournisseur stratégique de la haute intensité.",Le Plessis-Robinson,Hauts-de-Seine,Île-de-France,48.78,2.261,Environ 22 000 collaborateurs dans le monde en 2026 ; l’activité est 100 % défense. L’effectif France n’est pas publié sous un chiffre unique dans toutes les communications récentes.,4,4 implantations MBDA en France,7,3,7 sites cartographiés (référentiel initial 4 + 3 issus de SIRENE) ; total public annoncé : 4,couverture_complete,2.28,MBDA,7.66,MBDA,,,"5,8 Md€ de chiffre d’affaires en 2025, intégralement lié à la défense.","CA 2025 5,8 Md€ ; prises de commandes 13,2 Md€ ; carnet 44,4 Md€.","Carnet / CA : 7,66x ; Book-to-bill : 2,28x ; Marge et dette : non communiquées publiquement au niveau MBDA","Airbus 37,5 %, BAE Systems 37,5 %, Leonardo 25 %. Gouvernance multinationale structurée autour des bases industrielles française, britannique, italienne, allemande et espagnole.","MICA NG, Aster 30 B1NT / SAMP/T NG, SCALP, Exocet, Meteor, Akeron MP, préparation FMAN/FMC.",25.40Z – Fabrication d’armes et de munitions pour MBDA France.,https://www.mbda-systems.com/,https://www.mbda-systems.com/,https://www.mbda-systems.com/country-fr,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,4,7,3,0,0,7,7,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
7,knds-france,KNDS FRANCE,Grand maître d’œuvre / systémier,Terrestre,"Blindés, artillerie, systèmes terrestres et munitions","Terrestre, blindés, artillerie, tourelles, systèmes d’armes, robotique et munitions.","KNDS France est le principal maître d’œuvre français des systèmes terrestres lourds, héritier de Nexter. L’entreprise conçoit et produit blindés, artillerie, tourelles, systèmes d’armes et une partie des munitions nécessaires à l’Armée de terre. Elle est au cœur de SCORPION, de la remontée en cadence du CAESAR et de la modernisation du char Leclerc, avec un rôle souverain sur les architectures de combat terrestre.",Versailles,Yvelines,Île-de-France,48.803,2.118,"Plus de 11 000 collaborateurs pour le groupe KNDS ; environ 4 000 en France pour les principales activités françaises, ordre de grandeur public.",10,10 sites KNDS en France (groupe),20,5,20 sites cartographiés (référentiel initial 8 + 12 issus de SIRENE) ; total public annoncé : 10,couverture_strategique_partielle,3.07,KNDS groupe,7.52,KNDS groupe,,,"Le groupe KNDS a réalisé environ 4,4 Md€ de CA en 2025 ; la branche Land Systems France représente environ 1,3 Md€, hors consolidation complète des activités munitions françaises.","Groupe KNDS 2025 : CA 4,4 Md€, prises de commandes 13,5 Md€, carnet 33,1 Md€. Segment France : environ 1,3 Md€ de CA.","Carnet / CA groupe : 7,52x ; Book-to-bill groupe : 3,07x ; Marge/dette : non communiquées publiquement de façon détaillée","KNDS N.V. est historiquement détenu à parité par GIAT Industries/État français et Wegmann & Co.. En 2026, la gouvernance/actionnariat font l’objet d’un réaménagement franco-allemand annoncé, avec projet d’introduction en Bourse reporté/placé en attente ; la structure doit donc être lue comme en transition au 12 août 2026.","SCORPION – Griffon, Jaguar, Serval, CAESAR, Leclerc XLR, VBCI, munitions de moyen et gros calibre, études MGCS.",30.40Z – Construction de véhicules militaires de combat pour l’entité opérationnelle KNDS France.,https://knds.com/,https://knds.com/,https://www.knds.com/about-us/sites/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,8,17,12,0,0,20,20,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
8,arianegroup,ARIANEGROUP,Grand maître d’œuvre / systémier,Missiles & spatial,"Missiles balistiques stratégiques, propulsion et lanceurs spatiaux","Dissuasion, missiles balistiques, propulsion solide et liquide, lanceurs spatiaux, matériaux énergétiques.","ArianeGroup est le maître d’œuvre industriel du missile balistique stratégique M51 et un acteur clé de la propulsion spatiale européenne. L’entreprise, détenue à parts égales par Airbus et Safran, rassemble des compétences souveraines en propulsion solide et liquide, matériaux énergétiques, intégration de systèmes stratégiques et lanceurs. Elle est indispensable à la composante océanique de la dissuasion française et, parallèlement, à l’autonomie d’accès européen à l’espace via Ariane 6.",Les Mureaux,Yvelines,Île-de-France,48.989,1.914,Environ 8 700 collaborateurs en France et en Allemagne ; la part strictement défense n’est pas publiée séparément.,,"Environ 18 établissements recensés en France pour ArianeGroup SAS, selon le périmètre administratif de l’unité légale.",12,7,12 sites cartographiés (référentiel initial 10 + 2 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,,,,,,,"Non communiqué séparément. Le chiffre d’affaires groupe 2025 est d’environ 2,6 Md€, couvrant à la fois les activités spatiales et stratégiques.","CA 2025 : environ 2,6 Md€. Carnet de commandes Défense et ratios de marge/dette : non communiqués publiquement de manière exploitable, en raison du caractère stratégique et privé de l’entreprise.","CA 2025 : ~2,6 Md€ ; Carnet/CA : n.c. ; Marge/levier : n.c.",Airbus 50 % et Safran 50 %. L’État français dispose de mécanismes spécifiques de protection des activités stratégiques ; un représentant de l’État et un commissaire du gouvernement participent à la gouvernance selon les dispositifs applicables.,"M51 et évolutions de la composante océanique, soutien des systèmes stratégiques, Ariane 6 comme capacité duale d’accès autonome à l’espace.",30.30Z – Construction aéronautique et spatiale pour ArianeGroup SAS.,https://www.ariane.group/,https://www.ariane.group/,https://www.ariane.group/qui-sommes-nous/nos-sites/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,10,3,2,1,1,12,11,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
9,arquus-john-cockerill-defense,ARQUUS – JOHN COCKERILL DEFENSE,Grand maître d’œuvre / systémier,Terrestre,"Véhicules blindés à roues, mobilité terrestre, tourelles et MCO","Mobilité terrestre, véhicules blindés à roues, protection, tourelles/tourelleaux, soutien et MCO.","Arquus, intégré à John Cockerill Defense, est un acteur historique de la mobilité militaire française et du soutien des parcs de véhicules terrestres. Il fournit des véhicules blindés et tactiques, des chaînes de mobilité, des tourelleaux téléopérés et des services de maintien en condition opérationnelle. Son importance souveraine tient à sa connaissance du parc roulant de l’Armée de terre et à sa contribution aux véhicules du programme SCORPION.",Versailles,Yvelines,Île-de-France,48.803,2.118,Plus de 1 200 collaborateurs pour Arquus en France ; activité principalement défense.,,4 sites industriels principaux en France.,12,5,12 sites cartographiés (référentiel initial 9 + 3 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,1.25,John Cockerill groupe,,,3.0,Marge EBITDA groupe,"Le chiffre d’affaires d’Arquus n’est pas publié séparément depuis son intégration. John Cockerill affiche environ 1,6 Md€ de CA groupe 2025, avec une forte montée en puissance de la branche Défense.","Groupe John Cockerill 2025 : commandes 2,063 Md€, CA 1,648 Md€, EBITDA 49 M€. Les prises de commandes Défense dépassent 1,1 Md€.","Marge EBITDA groupe : ~3,0 % ; Book-to-bill groupe : 1,25x ; Part Défense du carnet : non ventilée publiquement","Arquus est intégré à John Cockerill Defense. Lors du rapprochement, les États français et belge ont chacun pris une participation stratégique de 10 % dans John Cockerill Defense ; le solde reste sous contrôle du groupe privé John Cockerill et de ses actionnaires.","Contribution à Griffon et Jaguar (mobilité et soutien), VBL Ultima, gamme Sherpa, tourelleaux Hornet, rénovation et MCO du parc terrestre.",29.10Z – Construction de véhicules automobiles pour l’entité Arquus de référence ; certaines activités de défense peuvent relever de codes spécialisés selon l’établissement.,https://www.arquus-defense.com/,https://www.arquus-defense.com/,https://www.arquus-defense.com/fr/nos-centres-dexcellence,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,9,8,3,0,0,12,12,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
10,chantiers-de-latlantique,CHANTIERS DE L’ATLANTIQUE,Grand maître d’œuvre / systémier,Naval,Grands bâtiments de surface et plateformes navales de fort tonnage,"Construction navale lourde, ingénierie de plateforme, intégration, grands bâtiments de surface.","Chantiers de l’Atlantique est d’abord un grand chantier naval civil, mais il possède une compétence souveraine unique en France pour les plateformes navales de très fort tonnage. Il intervient avec Naval Group sur les bâtiments ravitailleurs de forces et sur le futur porte-avions de nouvelle génération. Sa capacité de conception, d’assemblage et d’intégration de très grandes coques à Saint-Nazaire en fait un maillon critique pour les programmes navals stratégiques français.",Saint-Nazaire,Loire-Atlantique,Pays de la Loire,47.28,-2.254,Environ 4 000 collaborateurs sur le site industriel de Saint-Nazaire et dans les fonctions associées ; effectif défense non isolé.,,"1 site industriel principal en France de très grande capacité, à Saint-Nazaire, complété par des équipes de projet et d’ingénierie.",2,1,2 sites cartographiés (référentiel initial 2 + 0 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,,,5.0,"Ordre de grandeur de couverture du carnet, ~5 ans",,,"Non communiqué séparément. Chiffre d’affaires total 2025 d’environ 2,82 Md€, très majoritairement civil ; la part défense est concentrée sur les grands programmes navals.","Carnet global très élevé, couvrant environ cinq années de production selon les communications publiques récentes ; la part Défense n’est pas isolée. CA 2025 publié/rapporté autour de 2,6–2,8 Md€ selon périmètre/source.",Couverture de carnet : ~5 ans (ordre de grandeur) ; Ratios Défense : n.c. ; Rentabilité détaillée récente : non publiée de façon comparable,"État français 84,34 %, Naval Group 11,67 %, salariés environ 2,4 %, entreprises locales via COFIPME environ 1,59 %. Contrôle public très majoritaire.",FLOTLOG / bâtiments ravitailleurs de forces (BRF) et porte-avions de nouvelle génération (PA-NG / France Libre).,30.11Z – Construction de navires et de structures flottantes.,https://chantiers-atlantique.com/,https://chantiers-atlantique.com/,https://chantiers-atlantique.com/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,2,1,0,0,0,2,2,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
