entreprise_id,slug,entreprise,cercle,mode_selection,libelle_mode_selection,justification_selection,criteres_selection,source_selection_ids,source_inclusion_principale_id,statut_methodologique,note_methodologique
1,thales,THALES,1,grand_maitre_oeuvre_DGA,Grand maître d’œuvre industriel — identification DGA,"Inclus dans le Cercle 1 parce que Thales fait partie des neuf grands maîtres d’œuvre industriels explicitement identifiés par la DGA. Sa présence dans le panel permet en outre de représenter le rôle de systémier et d’intégrateur de l’électronique de défense, des capteurs, des communications et des systèmes de mission.",identification_DGA|position_chaine_valeur,PANEL_SRC_DGA_GMO_2026|PANEL_SRC_THales_CORP,PANEL_SRC_DGA_GMO_2026,institutionnel_DGA,Inclusion fondée sur l'identification explicite de la DGA ; le cercle n'est pas un classement.
2,dassault-aviation,DASSAULT AVIATION,1,grand_maitre_oeuvre_DGA,Grand maître d’œuvre industriel — identification DGA,"Inclus dans le Cercle 1 parce que Dassault Aviation fait partie des neuf grands maîtres d’œuvre industriels explicitement identifiés par la DGA. Il représente dans le panel la maîtrise d’œuvre d’avions de combat et l’intégration de systèmes aéronautiques militaires complexes, en particulier autour du Rafale.",identification_DGA|programmes_structurants,PANEL_SRC_DGA_GMO_2026|PANEL_SRC_DASSAULT_CORP,PANEL_SRC_DGA_GMO_2026,institutionnel_DGA,Inclusion fondée sur l'identification explicite de la DGA ; le cercle n'est pas un classement.
3,safran,SAFRAN,1,grand_maitre_oeuvre_DGA,Grand maître d’œuvre industriel — identification DGA,"Inclus dans le Cercle 1 parce que Safran fait partie des neuf grands maîtres d’œuvre industriels explicitement identifiés par la DGA. Le groupe représente dans le panel des fonctions critiques de propulsion, d’équipements, de navigation et d’optronique pour les plateformes militaires.",identification_DGA|position_chaine_valeur,PANEL_SRC_DGA_GMO_2026|PANEL_SRC_SAFRAN_CORP,PANEL_SRC_DGA_GMO_2026,institutionnel_DGA,Inclusion fondée sur l'identification explicite de la DGA ; le cercle n'est pas un classement.
4,naval-group,NAVAL GROUP,1,grand_maitre_oeuvre_DGA,Grand maître d’œuvre industriel — identification DGA,"Inclus dans le Cercle 1 parce que Naval Group fait partie des neuf grands maîtres d’œuvre industriels explicitement identifiés par la DGA. Il représente la maîtrise d’œuvre navale militaire française pour les sous-marins, bâtiments de surface, systèmes de combat et soutien associé.",identification_DGA|programmes_structurants,PANEL_SRC_DGA_GMO_2026|PANEL_SRC_NAVAL_CORP,PANEL_SRC_DGA_GMO_2026,institutionnel_DGA,Inclusion fondée sur l'identification explicite de la DGA ; le cercle n'est pas un classement.
5,airbus,AIRBUS,1,grand_maitre_oeuvre_DGA,Grand maître d’œuvre industriel — identification DGA,"Inclus dans le Cercle 1 parce qu’Airbus fait partie des neuf grands maîtres d’œuvre industriels explicitement identifiés par la DGA. Le groupe représente dans le panel l’aviation militaire, les hélicoptères, les systèmes spatiaux et les grandes plateformes aéronautiques de défense.",identification_DGA|programmes_structurants,PANEL_SRC_DGA_GMO_2026|PANEL_SRC_AIRBUS_CORP,PANEL_SRC_DGA_GMO_2026,institutionnel_DGA,Inclusion fondée sur l'identification explicite de la DGA ; le cercle n'est pas un classement.
6,mbda,MBDA,1,grand_maitre_oeuvre_DGA,Grand maître d’œuvre industriel — identification DGA,"Inclus dans le Cercle 1 parce que MBDA fait partie des neuf grands maîtres d’œuvre industriels explicitement identifiés par la DGA. Il représente la conception, l’intégration et la production de systèmes de missiles et d’effecteurs, maillon spécifique de la chaîne de valeur de défense.",identification_DGA|position_chaine_valeur,PANEL_SRC_DGA_GMO_2026|PANEL_SRC_MBDA_CORP,PANEL_SRC_DGA_GMO_2026,institutionnel_DGA,Inclusion fondée sur l'identification explicite de la DGA ; le cercle n'est pas un classement.
7,knds-france,KNDS FRANCE,1,grand_maitre_oeuvre_DGA,Grand maître d’œuvre industriel — identification DGA,"Inclus dans le Cercle 1 parce que KNDS France fait partie des neuf grands maîtres d’œuvre industriels explicitement identifiés par la DGA. Il représente les systèmes terrestres lourds, les véhicules blindés, l’artillerie et les munitions au sein du panel.",identification_DGA|programmes_structurants,PANEL_SRC_DGA_GMO_2026|PANEL_SRC_KNDS_CORP,PANEL_SRC_DGA_GMO_2026,institutionnel_DGA,Inclusion fondée sur l'identification explicite de la DGA ; le cercle n'est pas un classement.
8,arianegroup,ARIANEGROUP,1,grand_maitre_oeuvre_DGA,Grand maître d’œuvre industriel — identification DGA,"Inclus dans le Cercle 1 parce qu’ArianeGroup fait partie des neuf grands maîtres d’œuvre industriels explicitement identifiés par la DGA. Il représente les compétences de propulsion, de systèmes spatiaux et de systèmes stratégiques nécessaires notamment à la composante océanique de la dissuasion.",identification_DGA|capacites_technologiques,PANEL_SRC_DGA_GMO_2026|PANEL_SRC_ARIANE_CORP,PANEL_SRC_DGA_GMO_2026,institutionnel_DGA,Inclusion fondée sur l'identification explicite de la DGA ; le cercle n'est pas un classement.
9,arquus-john-cockerill-defense,ARQUUS – JOHN COCKERILL DEFENSE,1,grand_maitre_oeuvre_DGA,Grand maître d’œuvre industriel — identification DGA,"Inclus dans le Cercle 1 car John Cockerill Defense (JCD), auquel Arquus est désormais intégré, figure parmi les neuf grands maîtres d’œuvre industriels explicitement identifiés par la DGA. Cet ensemble représente dans le panel la mobilité militaire terrestre, les véhicules, tourelles et activités de soutien associées.",identification_DGA|position_chaine_valeur,PANEL_SRC_DGA_GMO_2026|PANEL_SRC_JCD_CORP,PANEL_SRC_DGA_GMO_2026,institutionnel_DGA,Inclusion fondée sur l'identification explicite de la DGA ; le cercle n'est pas un classement.
10,chantiers-de-latlantique,CHANTIERS DE L’ATLANTIQUE,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour ses capacités françaises de construction et d’intégration de navires de très fort tonnage et pour une implication militaire directement documentée : construction des bâtiments ravitailleurs de forces de la Marine nationale et participation, avec Naval Group et TechnicAtome, à la maîtrise d’œuvre industrielle du porte-avions de nouvelle génération.",presence_defense_averee|capacites_industrielles_france|programmes_structurants|representativite_panel,PANEL_SRC_CDA_BRF|PANEL_SRC_CDA_PANG,PANEL_SRC_CDA_BRF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
11,technicatome,TECHNICATOME,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 car TechnicAtome détient une fonction industrielle très spécifique : la maîtrise d’œuvre des réacteurs nucléaires embarqués de propulsion navale. Son rôle est documenté sur des programmes stratégiques tels que les SNLE 3G et, plus largement, la filière française de propulsion nucléaire navale.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|programmes_structurants|representativite_panel,PANEL_SRC_TA_NAVAL|PANEL_SRC_TA_SNLE3G,PANEL_SRC_TA_NAVAL,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
