site_intl_id;entreprise_id;entreprise;entite_locale;pays;code_pays;ville;adresse_sourcee;latitude;longitude;type_site;activite_documentee;pertinence_defense;perimetre;statut;statut_validation;precision_coordonnees;coordonnees_statut;source_site_id;source_site_url;source_coord_id;confiance_information;afficher_par_defaut;derniere_verification;limites_interpretation
C1I_AIR_001;5;AIRBUS;Airbus Defence and Space Getafe;Espagne;ES;Getafe;Paseo John Lennon, S/N, 28906 Getafe, Madrid;40.3050;-3.7330;site_defense;"Airbus Defence and Space ; ligne Eurofighter espagnole documentée séparément.";directe;Airbus Defence and Space;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_AIRBUS_CONTACT_001;https://www.airbus.com/en/airbus-contact-us;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_AIR_002;5;AIRBUS;Airbus Defence and Space San Pablo;Espagne;ES;Séville;Avenida del Aeropuerto, s/n, 41020 Sevilla;37.3890;-5.9840;site_defense;Site Airbus Defence and Space.;directe;Airbus Defence and Space;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_AIRBUS_CONTACT_001;https://www.airbus.com/en/airbus-contact-us;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_AIR_003;5;AIRBUS;Airbus Defence and Space Ottobrunn/Taufkirchen;Allemagne;DE;Taufkirchen;Willy-Messerschmitt-Strasse 1, 82024 Taufkirchen;48.0480;11.6170;site_defense_rd;Site Airbus Defence and Space.;directe;Airbus Defence and Space;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_AIRBUS_CONTACT_001;https://www.airbus.com/en/airbus-contact-us;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_AIR_004;5;AIRBUS;Airbus Defence and Space Manching;Allemagne;DE;Manching;Rechliner Straße, 85077 Manching;48.7160;11.4930;site_defense;"Site Defence and Space ; ligne Eurofighter allemande.";directe;Airbus Defence and Space;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_AIRBUS_CONTACT_001;https://www.airbus.com/en/airbus-contact-us;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_AIR_005;5;AIRBUS;Airbus Defence & Space Stevenage;Royaume-Uni;GB;Stevenage;Gunnels Wood Road, Stevenage, SG1 2AS;51.9020;-0.2020;site_defense_spatial;Site Airbus Defence & Space.;mixte/duale;Airbus Defence and Space;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_AIRBUS_CONTACT_001;https://www.airbus.com/en/airbus-contact-us;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_AIR_006;5;AIRBUS;Airbus Defence & Space Portsmouth;Royaume-Uni;GB;Portsmouth;Anchorage Road, Portsmouth PO3 5PU;50.8190;-1.0880;site_defense_spatial;Site Airbus Defence & Space.;mixte/duale;Airbus Defence and Space;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_AIRBUS_CONTACT_001;https://www.airbus.com/en/airbus-contact-us;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_AIR_007;5;AIRBUS;Airbus Defence and Space North America;États-Unis;US;Herndon;2550 Wasser Terrace, Suite 9000, Herndon, VA 20171;38.9690;-77.3860;siege_regional_defense;Airbus Defence and Space North America.;directe;Airbus Defence and Space;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_AIRBUS_CONTACT_001;https://www.airbus.com/en/airbus-contact-us;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_AIR_008;5;AIRBUS;Airbus Australia;Australie;AU;Pinkenba;701 MacArthur Avenue Central, Pinkenba QLD 4008;-27.4190;153.1260;implantation_groupe;Implantation Airbus en Australie.;mixte/duale;Airbus groupe;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_AIRBUS_CONTACT_001;https://www.airbus.com/en/airbus-contact-us;METH_COORD_001;haute;false;2026-08-13;"La source d'adresse ne permet pas à elle seule d'isoler une activité Défense ; affichage par défaut désactivé."
C1I_THA_001;1;THALES;Thales Nederland;Pays-Bas;NL;Hengelo;Zuidelijke Havenweg 40, 7554 RR Hengelo;52.2650;6.7930;site_defense;Systèmes navals, radars et électronique de défense.;directe;Thales Netherlands;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_THALES_NL_001;https://www.thalesgroup.com/en/worldwide/netherlands/about-us;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_THA_002;1;THALES;Thales Deutschland;Allemagne;DE;Ditzingen;Thalesplatz 1, 71254 Ditzingen;48.8260;9.0680;siege_filiale;Implantation Thales Allemagne.;mixte/duale;Thales Germany;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_THALES_DE_001;https://www.thalesgroup.com/en/worldwide/germany/policies-governance;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
