relation_id;entreprise_id;entreprise;partenaire;partenaire_secteur;partenaire_cercle1_entreprise_id;type_relation;programme_projet;description_preuve;perimetre_relation;statut_relation;source_relation_id;source_relation_url;confiance_information;cartographiable;partenaire_location_id;afficher_par_defaut;derniere_verification;caveat
REL_THA_001;1;THALES;DASSAULT AVIATION;aéronautique de défense;2;cooperation_integration;Rafale / RBE2 AESA;Thales indique que le RBE2 AESA est développé en étroite collaboration avec Dassault Aviation et la DGA.;Thales / Dassault Aviation;actuelle;SRC_THALES_RBE2_001;https://www.thalesgroup.com/en/solutions-catalogue/defence/air/rbe2-aesa;haute;false;;true;2026-08-13;
REL_THA_002;1;THALES;NAVAL GROUP;défense navale;4;integration_equipement;FDI / Sea Fire;Thales indique que Sea Fire est prêt pour intégration par Naval Group sur la FDI.;Thales / Naval Group;actuelle;SRC_THALES_SEAFIRE_001;https://www.thalesgroup.com/en/news-centre/press-releases/thales-digital-radar-sea-fire-qualified-and-ready-integration-frances;haute;false;;true;2026-08-13;
REL_THA_003;1;THALES;MBDA;missiles / défense aérienne;6;cooperation_industrielle;SAMP/T NG;Thales se décrit comme intégrateur du SAMP/T NG en collaboration avec MBDA.;Thales / MBDA;actuelle;SRC_THALES_SAMPT_001;https://www.thalesgroup.com/en/news-centre/press-releases/thales-major-contributor-success-samp/t-ng-selected-danish-ministry;haute;false;;true;2026-08-13;
REL_THA_004;1;THALES;KNDS FRANCE;systèmes terrestres;7;cooperation_programme;SCORPION — Griffon/Jaguar;KNDS France cite Thales et Arquus comme partenaires de production des Griffon/Jaguar.;KNDS France / Thales;actuelle;SRC_KNDS_FR_001;https://knds.com/en/subsidiaries/knds-france;haute;false;;true;2026-08-13;
REL_THA_005;1;THALES;SFO Technologies;électronique / industrie défense;;contrat_fourniture;Rafale / RBE2 — Make in India;Thales a attribué à SFO Technologies un contrat pour des structures câblées du radar RBE2.;Thales / fournisseur Inde;actuelle;SRC_THALES_SFO_001;https://www.thalesgroup.com/en/news-centre/press-releases/thales-awards-sfo-technologies-rbe2-radar-wired-structures-contract;haute;false;;true;2026-08-13;"Relation explicitement documentée ; localisation du partenaire non cartographiée dans cette V1."
REL_DAS_001;2;DASSAULT AVIATION;THALES;électronique de défense;1;integration_equipement;Rafale / RBE2 AESA;Le RBE2 AESA est développé en collaboration avec Dassault Aviation.;Dassault / Thales;actuelle;SRC_THALES_RBE2_001;https://www.thalesgroup.com/en/solutions-catalogue/defence/air/rbe2-aesa;haute;false;;true;2026-08-13;
REL_DAS_002;2;DASSAULT AVIATION;SAFRAN;propulsion militaire;3;integration_equipement;Rafale / M88;Safran indique que son moteur M88 motorise le Rafale de Dassault Aviation.;Dassault / Safran;actuelle;SRC_SAFRAN_M88_001;https://www.safran-group.com/products-services/m88-proven-performance-and-reliability;haute;false;;true;2026-08-13;
REL_DAS_003;2;DASSAULT AVIATION;Tata Advanced Systems Limited;aéronautique / défense;;transfert_production;Rafale — fuselage en Inde;Quatre accords de transfert de production prévoient une installation TASL dédiée au fuselage Rafale à Hyderabad.;Dassault / TASL;annoncee_industrialisation;SRC_DASSAULT_TATA_001;https://www.dassault-aviation.com/en/group/press/press-kits/dassault-aviation-partners-with-tata-advanced-systems-to-manufacture-rafale-fighter-aircraft-fuselage-for-india-and-other-global-markets/;haute;true;PL_TATA_HYD;false;2026-08-13;"Installation partenaire TASL ; premières sections attendues FY2028. Ne pas afficher comme implantation Dassault."
REL_SAF_001;3;SAFRAN;DASSAULT AVIATION;aéronautique de défense;2;integration_equipement;Rafale / M88;Le M88 Safran motorise le Rafale de Dassault Aviation.;Safran / Dassault;actuelle;SRC_SAFRAN_M88_001;https://www.safran-group.com/products-services/m88-proven-performance-and-reliability;haute;false;;true;2026-08-13;
REL_SAF_002;3;SAFRAN;AIRBUS;hélicoptères défense;5;integration_equipement;H160M Guépard;Safran fournit notamment le moteur Arrano au H160M d'Airbus Helicopters.;Safran / Airbus Helicopters;actuelle;SRC_SAFRAN_H160M_001;https://www.safran-group.com/pressroom/safran-provide-engines-and-other-equipment-h160m-and-h160-helicopters-french-armed-forces-and-2022-01-13;haute;false;;true;2026-08-13;
