programme_id;nom;acronyme;type_objet;domaine;statut_code;statut_libelle;resume_statut;date_evenement_statut;derniere_verification;source_statut_principale_id;source_statut_secondaire_id;niveau_vigilance;afficher_dashboard
rafale;Rafale;Rafale;plateforme_et_programme_evolutif;Aéronautique de combat;ACTIF_EVOLUTION;En service / évolution;"Le Rafale est un système en service qui poursuit une logique d'évolution par standards successifs. Le standard F5 est en développement, avec de nouveaux capteurs, un drone de combat associé et l'intégration future de l'ASN4G ; il ne s'agit donc pas d'un programme arrivé à terme.";2026-06-11;2026-08-13;SRC_RAF_F5_DGA_2024;SRC_RAF_ASN4G_DGA_2026;faible;true
scorpion;SCORPION;SCORPION;programme;Combat terrestre;ACTIF_DEPLOIEMENT;Déploiement / production;SCORPION reste un programme actif de modernisation du combat terrestre. Les Griffon, Jaguar, Serval, MEPAC et Leclerc rénovés continuent d'être livrés, avec des cibles de flotte qui s'étendent jusqu'aux années 2030.;2026-01-21;2026-08-13;SRC_SCORPION_ADT_2024;SRC_SCORPION_SERVAL_DGA_2026;faible;true
fdi;Frégate de défense et d’intervention;FDI;programme;Naval;ACTIF_LIVRAISONS;Production / livraisons;Le programme FDI est en phase de production et de livraison. La première frégate a été livrée en octobre 2025, une cinquième a été commandée en mars 2026 et les livraisons restantes doivent s'échelonner jusqu'en 2032.;2026-03-31;2026-08-13;SRC_FDI_DGA_2026;;faible;true
barracuda;Barracuda / classe Suffren;Barracuda;programme;Sous-marins;ACTIF_FIN_SERIE;Production / fin de série;"Le programme Barracuda reste actif mais approche de la fin de sa phase de production. Le De Grasse, quatrième des six SNA de classe Suffren, a été livré en juin 2026 ; les deux derniers bâtiments sont encore en construction.";2026-06-24;2026-08-13;SRC_BARRACUDA_DGA_2026;;faible;true
snle3g;Sous-marins nucléaires lanceurs d’engins de 3e génération;SNLE 3G;programme;Dissuasion / naval;ACTIF_REALISATION;En réalisation;Le programme SNLE 3G est en réalisation. La construction du premier bâtiment a été lancée en 2024 et quatre sous-marins doivent progressivement remplacer la génération Le Triomphant à partir de la prochaine décennie.;2024-03-20;2026-08-13;SRC_SNLE3G_DGA_2024;;faible;true
pang;Porte-avions de nouvelle génération / France Libre;PA-NG;programme;Naval / aéronaval;ACTIF_REALISATION;En réalisation;Le porte-avions de nouvelle génération, désormais nommé France Libre, est entré en réalisation fin 2025. En 2026, la DGA pilote le programme avec Naval Group, Chantiers de l'Atlantique et TechnicAtome/CEA, pour une mise en service visée à l'horizon 2038.;2025-12-01;2026-08-13;SRC_PANG_COLSBLEUS_2026;SRC_PANG_COLSBLEUS_2026_2;faible;true
m51;Famille de missiles balistiques stratégiques M51;M51;famille_missile;Dissuasion;ACTIF_MODERNISATION;En service / modernisation;La famille M51 est à la fois en service et en modernisation continue. Le M51.3 est entré en service opérationnel en 2025, tandis que le développement et la production du M51.4 ont été notifiés à ArianeGroup pour une mise en service au cours de la prochaine décennie.;2025-09-12;2026-08-13;SRC_M51_DGA_2025;SRC_M51_2025_BILAN;faible;true
aster;Aster / SAMP-T NG;Aster;famille_missile_et_systeme;Défense aérienne;ACTIF_EVOLUTION;En service / évolution;La famille Aster est en service et continue d'évoluer avec le SAMP/T NG. En 2026, la DGA a commandé le développement d'une architecture multi-couches combinant les effecteurs Aster avec le Mica VL.;2026-04-30;2026-08-13;SRC_ASTER_MICA_DGA_2026;;faible;true
vl_mica;VL MICA / VL MICA NG;VL MICA;systeme_missile;Défense aérienne;ACTIF_INTEGRATION;En service / intégration;Le VL Mica est déjà employé pour la défense sol-air courte portée. Son évolution actuelle porte notamment sur son intégration au SAMP/T NG dans une architecture multi-couches avec les missiles Aster, avec des sections au nouveau standard annoncées à partir de 2030.;2026-04-30;2026-08-13;SRC_VLMICA_DGA_2026;;faible;true
scaf;Système de combat aérien du futur;SCAF / FCAS;programme_cooperation;Combat aérien futur;RECONFIGURE;Reconfiguré;"Le SCAF n'est plus à présenter comme un programme inchangé. En juillet 2026, la France a confirmé l'arrêt du projet d'avion de combat unique et, par conséquence, des moteurs associés ; en revanche, la coopération sur le Combat Cloud et les autres systèmes du système de systèmes se poursuit.";2026-07-17;2026-08-13;SRC_SCAF_ELYSEE_2026;;elevee;true
mgcs;Main Ground Combat System;MGCS;programme_cooperation;Combat terrestre futur;RECONFIGURE;Reconfiguré;Le MGCS n'est pas abandonné mais a été recentré en 2026. La France et l'Allemagne ont décidé de concentrer le programme sur la R&D et les démonstrateurs de technologies pour véhicules de combat habités et non habités, avec une approche désormais indépendante d'une plateforme unique et des architectures ouvertes.;2026-06-15;2026-08-13;SRC_MGCS_BREG_2026;;elevee;true
a400m;A400M Atlas;A400M;plateforme_et_programme;Transport aérien militaire;ACTIF_EVOLUTION;En service / évolution;L'A400M est un programme mature et opérationnel, mais son évolution se poursuit. En juin 2026, la DGA a lancé le développement d'un système de mission parallèle destiné à renforcer les capacités multi-missions et le combat collaboratif des appareils français.;2026-06-19;2026-08-13;SRC_A400M_DGA_2026;;faible;true
mrtt;A330 MRTT Phénix;MRTT Phénix;plateforme_et_programme;Ravitaillement / transport;ACTIF_MONTEE_FLOTTE;En service / montée en flotte;Le MRTT Phénix est en service dans l'armée de l'Air et de l'Espace et remplace progressivement plusieurs flottes plus anciennes. Le programme français prévoit une flotte de quinze appareils à l'horizon 2028.;2023-05-01;2026-08-13;SRC_MRTT_AAE;;moyenne;true
h160m;H160M Guépard / Hélicoptère interarmées léger;H160M / HIL;programme_et_plateforme;Hélicoptères;ACTIF_DEVELOPPEMENT;Développement / essais;Le H160M Guépard est encore en phase de développement et d'essais. Après le premier vol du prototype en 2025, la DGA a conduit avec succès une première campagne de tirs en juillet 2026.;2026-07-15;2026-08-13;SRC_H160M_DGA_2026;;faible;true
tiger_mk3;Tigre MkIII;Tigre MkIII;programme_modernisation;Hélicoptères de combat;ACTIF_MODERNISATION;Modernisation;Le Tigre MkIII n'est pas abandonné : la France et l'Espagne poursuivent le programme de modernisation à mi-vie. OCCAR et Airbus documentent encore en 2026 les rétrofits et l'intégration de nouveaux systèmes avioniques, capteurs et armements.;2026-06-19;2026-08-13;SRC_TIGER_OCCAR_2026;SRC_TIGER_AIRBUS_2026;faible;true
nh90;NH90 Caïman;NH90;plateforme_et_programme;Hélicoptères;ACTIF_NOUVELLE_VARIANTE;En service / nouvelle variante;Le NH90 est en service dans les forces françaises et continue d'évoluer. Le standard 2 destiné aux forces spéciales a été commandé à 18 exemplaires, avec des livraisons prévues entre l'été 2026 et le printemps 2029.;2025-04-01;2026-08-13;SRC_NH90_DGA_2025;;moyenne;true
