element_id,ordre,type_element,titre,cercle,critere_code,texte,source_ids
dashboard_title,01,titre_dashboard,,,,Panel de 30 acteurs industriels majeurs de la BITD,
dashboard_tooltip,02,tooltip_dashboard,À propos du panel,,,"Sélection construite à partir des grands maîtres d’œuvre identifiés par la DGA et d’un panel d’équipementiers et d’ETI choisis selon leur poids industriel, leur implication dans les programmes de Défense, leurs capacités technologiques et leur position dans la chaîne de valeur.",PANEL_SRC_DGA_GMO_2026|PANEL_SRC_ECODEF_279_2026
panel_disclaimer,03,avertissement,Ce que le panel n’est pas,,,"Ce panel ne constitue ni une liste officielle des 30 principales entreprises de la BITD, ni un classement financier, ni un recensement exhaustif de la BITD française. Il s'agit d'un panel documentaire construit pour représenter les neuf grands maîtres d’œuvre identifiés par la DGA et un ensemble diversifié d'acteurs industriels structurants.",PANEL_SRC_DGA_GMO_2026|PANEL_SRC_REFD_METHODO_2025
method_intro,04,methode,Méthode de sélection,,,La sélection est organisée en deux cercles. Le Cercle 1 repose sur une identification institutionnelle explicite de la DGA. Le Cercle 2 est une sélection éditoriale documentée : chaque inclusion doit être justifiée par une activité de défense vérifiable et par sa contribution à la couverture de la chaîne de valeur et des capacités industrielles représentées dans le panel. Aucun score n'est calculé.,PANEL_SRC_DGA_GMO_2026|PANEL_SRC_ECODEF_279_2026
circle_1,10,cercle,Cercle 1 — Grands maîtres d’œuvre industriels,1,,Le Cercle 1 regroupe les neuf grands maîtres d’œuvre industriels explicitement identifiés par la DGA. L'appartenance à ce cercle est donc institutionnellement documentée et ne résulte pas d'un classement construit par le dashboard.,PANEL_SRC_DGA_GMO_2026
circle_2,20,cercle,Cercle 2 — Équipementiers et acteurs industriels structurants,2,,"Le Cercle 2 regroupe 21 entreprises retenues par sélection éditoriale documentée. Elles ne constituent pas une catégorie officielle de la DGA. Leur inclusion vise à représenter des fonctions industrielles importantes et complémentaires de la chaîne de valeur de défense, sur la base d'activités publiques vérifiables.",PANEL_SRC_ECODEF_279_2026
crit_A,31,critere,A. Présence Défense avérée,2,presence_defense_averee,"L'entreprise doit présenter une activité de défense identifiable dans une source primaire ou institutionnelle : produits, services, clients militaires, marchés ou programmes. Une simple proximité sectorielle avec l'aéronautique, le spatial ou l'industrie ne suffit pas.",
crit_B,32,critere,B. Capacités industrielles en France,2,capacites_industrielles_france,"La sélection privilégie les acteurs disposant de capacités industrielles, technologiques, d'essais, de production, d'intégration ou de soutien ancrées en France et pertinentes pour les activités de défense. Ce critère est qualitatif et ne constitue pas un seuil chiffré d'inclusion.",
crit_C,33,critere,C. Position dans la chaîne de valeur,2,position_chaine_valeur,"L'entreprise doit permettre d'identifier une fonction utile à la compréhension de la chaîne de valeur : équipement, sous-système, matériaux, composants, propulsion, électronique, MCO, ingénierie, simulation, construction ou intégration. La typologie s'inspire de la lecture par fonctions industrielles mise en avant par EcoDef, sans prétendre reproduire exactement sa classification statistique.",PANEL_SRC_ECODEF_279_2026
crit_D,34,critere,D. Implication dans des programmes structurants,2,programmes_structurants,Une participation publiquement documentée à un programme militaire structurant renforce la justification d'inclusion. Ce critère n'est pas obligatoire pour toutes les entreprises : certaines sont retenues pour une technologie ou une fonction transversale essentielle sans qu'un programme précis soit publiquement attribuable.,
crit_E,35,critere,E. Représentativité du panel,2,representativite_panel,"Le panel cherche à éviter une concentration excessive sur les seuls grands avionneurs ou maîtres d'œuvre. Il couvre volontairement plusieurs domaines et fonctions : aéronautique, naval, terrestre, missiles, munitions, nucléaire naval, photonique, matériaux, électronique, MCO, pyrotechnie, robotique, ingénierie et simulation.",
no_score,40,regle,Aucun score de sélection,,,Les critères du Cercle 2 ne sont ni pondérés ni additionnés. Ils servent à expliciter la décision d'inclusion et non à établir un classement. Deux entreprises peuvent donc être retenues pour des combinaisons de critères différentes.,
circle_not_hierarchy,41,regle,Les cercles ne sont pas une hiérarchie de valeur,,,"Cercle 1 et Cercle 2 distinguent la nature de la méthode d'inclusion : identification institutionnelle de la DGA d'un côté, sélection éditoriale documentée de l'autre. Le Cercle 2 ne signifie pas qu'une entreprise est moins stratégique ou moins importante.",PANEL_SRC_DGA_GMO_2026
