source_id,entreprise,niveau_source,type_source,libelle,url,usage_principal,date_consultation,commentaire
SRC0001,,A1 - registre public officiel,registre SIRENE / API,INSEE — Base SIRENE entreprises et établissements,https://www.data.gouv.fr/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret,"SIREN, SIRET, adresse, APE, état administratif, stock mensuel",2026-08-13,Source officielle INSEE ; le stock établissements contient actifs et fermés.
SRC0002,,A1 - registre public officiel,registre SIRENE / API,INSEE — Base SIRENE entreprises et établissements,https://www.data.gouv.fr/dataservices/api-sirene-open-data,vérification unitaire ou mise à jour infra-mensuelle,2026-08-13,
SRC0003,,A1 - registre public officiel,référentiel géographique communes,Référentiel communes 2026 — coordonnées centre-commune,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,latitude/longitude de centre-commune lorsqu’aucune géolocalisation précise n’est utilisée,2026-08-13,
SRC0004,,M - méthode interne,méthodologie/calcul interne,Méthodologie interne BITD France,,calculs et classifications construits à partir des fichiers sources,2026-08-13,La formule et les sources amont sont indiquées dans la table de provenance.
SRC0005,THALES,A2 - source primaire corporate,source corporate,THALES — source corporate,https://www.thalesgroup.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0006,THALES,A2 - source primaire corporate,implantations / présence territoriale,THALES — implantations / présence territoriale,https://careers.thalesgroup.com/global/en/france-careers,référentiel BITD / données entreprise,2026-08-13,
SRC0007,THALES,A2 - source primaire corporate,résultats / rapport financier,THALES — résultats / rapport financier,https://www.thalesgroup.com/en/investor-relations/regulated-information,référentiel BITD / données entreprise,2026-08-13,
SRC0008,DASSAULT AVIATION,A2 - source primaire corporate,source corporate,DASSAULT AVIATION — source corporate,https://www.dassault-aviation.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0009,DASSAULT AVIATION,A2 - source primaire corporate,implantations / présence territoriale,DASSAULT AVIATION — implantations / présence territoriale,https://carriere.dassault-aviation.com/accueil.aspx?LCID=1036,référentiel BITD / données entreprise,2026-08-13,
SRC0010,DASSAULT AVIATION,A2 - source primaire corporate,résultats / rapport financier,DASSAULT AVIATION — résultats / rapport financier,https://www.dassault-aviation.com/fr/groupe/finance/,référentiel BITD / données entreprise,2026-08-13,
SRC0011,DASSAULT AVIATION,A2 - source primaire corporate,résultats / rapport financier,DASSAULT AVIATION — résultats / rapport financier,https://www.dassault-aviation.com/fr/groupe/finance/actionnariat/,référentiel BITD / données entreprise,2026-08-13,
SRC0012,SAFRAN,A2 - source primaire corporate,source corporate,SAFRAN — source corporate,https://www.safran-group.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0013,SAFRAN,A2 - source primaire corporate,implantations / présence territoriale,SAFRAN — implantations / présence territoriale,https://www.safran-group.com/fr/implantations,référentiel BITD / données entreprise,2026-08-13,
SRC0014,SAFRAN,A2 - source primaire corporate,résultats / rapport financier,SAFRAN — résultats / rapport financier,https://www.safran-group.com/fr/finance/finance-bref,référentiel BITD / données entreprise,2026-08-13,
SRC0015,NAVAL GROUP,A2 - source primaire corporate,source corporate,NAVAL GROUP — source corporate,https://www.naval-group.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0016,NAVAL GROUP,A2 - source primaire corporate,implantations / présence territoriale,NAVAL GROUP — implantations / présence territoriale,https://www.naval-group.com/fr/implantations,référentiel BITD / données entreprise,2026-08-13,
SRC0017,NAVAL GROUP,A2 - source primaire corporate,source corporate,NAVAL GROUP — source corporate,https://www.naval-group.com/fr,référentiel BITD / données entreprise,2026-08-13,
SRC0018,NAVAL GROUP,A1 - source publique institutionnelle,actionnariat / gouvernance,NAVAL GROUP — actionnariat / gouvernance,https://www.economie.gouv.fr/agence-participations-etat/comprendre-lape/les-entreprises-de-lape,référentiel BITD / données entreprise,2026-08-13,
SRC0019,NAVAL GROUP,A2 - source primaire corporate,source corporate,NAVAL GROUP — source corporate,https://www.naval-group.com/fr/naval-group,référentiel BITD / données entreprise,2026-08-13,
SRC0020,AIRBUS,A2 - source primaire corporate,source corporate,AIRBUS — source corporate,https://www.airbus.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0021,AIRBUS,A2 - source primaire corporate,implantations,AIRBUS — implantations,https://www.airbus.com/en/our-worldwide-presence/airbus-in-europe/airbus-in-france,référentiel BITD / données entreprise,2026-08-13,
SRC0022,AIRBUS,A2 - source primaire corporate,résultats / rapport financier,AIRBUS — résultats / rapport financier,https://www.airbus.com/en/investors/financial-results,référentiel BITD / données entreprise,2026-08-13,
SRC0023,AIRBUS,A2 - source primaire corporate,résultats / rapport financier,AIRBUS — résultats / rapport financier,https://www.airbus.com/en/newsroom/press-releases/2026-02-airbus-reports-full-year-fy-2025-results,référentiel BITD / données entreprise,2026-08-13,
SRC0024,MBDA,A2 - source primaire corporate,source corporate,MBDA — source corporate,https://www.mbda-systems.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0025,MBDA,A2 - source primaire corporate,implantations / présence territoriale,MBDA — implantations / présence territoriale,https://www.mbda-systems.com/country-fr,référentiel BITD / données entreprise,2026-08-13,
SRC0026,MBDA,A2 - source primaire corporate,source corporate,MBDA — source corporate,https://www.mbda-systems.com/,référentiel BITD / données entreprise,2026-08-13,
