source_selection_id,entreprise,niveau_source,type_source,source_title,publisher,url,date_source,date_consultation,source_role,preuve_apportee,statut_verification
PANEL_SRC_DGA_GMO_2026,,A1 - source institutionnelle,institutionnelle DGA,DGA — Les secrets de la défense française : focus sur la BITD,Direction générale de l'armement (DGA),https://armement.defense.gouv.fr/les-secrets-de-la-defense-francaise-focus-sur-la-bitd,2026-01-21,2026-08-13,base_institutionnelle_cercle_1,"La DGA indique que la présentation de la BITD est notamment consacrée aux 9 grands maîtres d’œuvre industriels et les nomme : Airbus, Dassault Aviation, Naval Group, Safran, Thales, ArianeGroup, MBDA, KNDS France et JCD.",verifie
PANEL_SRC_ECODEF_279_2026,,A1 - source institutionnelle,publication statistique,EcoDef Statistiques n°279 — Les ensembliers-systémiers-intégrateurs dominent la chaîne de valeur des entreprises de défense,Ministère des Armées — SSM / Observatoire économique de la défense,https://www.defense.gouv.fr/ssm/actualites/ecodef-statistiques-ndeg-279-ensembliers-systemiers-integrateurs-dominent-chaine-valeur-entreprises,2026-06-11,2026-08-13,cadre_methodologique_chaine_valeur,"La publication analyse les entreprises de défense selon leur position dans la chaîne de valeur et documente notamment la place des ensembliers-systémiers-intégrateurs, équipementiers et autres fonctions industrielles.",verifie
PANEL_SRC_REFD_METHODO_2025,,A1 - source institutionnelle,méthodologie statistique,Répertoire des entreprises fournisseurs de la défense (REFD) — document méthodologique,Ministère des Armées — SSM / Observatoire économique de la défense,https://www.defense.gouv.fr/ssm/repertoire-entreprises-fournisseurs-defense-refd,2025,2026-08-13,contexte_perimetre_non_exhaustif,Le REFD illustre l'existence d'un univers statistique beaucoup plus large de fournisseurs de la défense ; il ne fournit pas une liste publique simple équivalente à un classement officiel des 30 principaux acteurs de la BITD.,verifie
PANEL_SRC_THales_CORP,THALES,A2 - source primaire corporate,source corporate / programme,Thales — site corporate,Thales,https://www.thalesgroup.com/,,2026-08-13,preuve_role_industriel,"Documente le périmètre technologique et industriel du groupe, notamment ses activités de défense, d'électronique et de systèmes.",verifie
PANEL_SRC_DASSAULT_CORP,DASSAULT AVIATION,A2 - source primaire corporate,source corporate / programme,Dassault Aviation — site corporate,Dassault Aviation,https://www.dassault-aviation.com/,,2026-08-13,preuve_role_industriel,"Documente le rôle de Dassault Aviation comme avionneur et maître d'œuvre de programmes aéronautiques militaires, dont le Rafale.",verifie
PANEL_SRC_SAFRAN_CORP,SAFRAN,A2 - source primaire corporate,source corporate / programme,Safran — site corporate,Safran,https://www.safran-group.com/,,2026-08-13,preuve_role_industriel,"Documente les activités du groupe dans la propulsion, les équipements et systèmes aéronautiques et de défense.",verifie
PANEL_SRC_NAVAL_CORP,NAVAL GROUP,A2 - source primaire corporate,source corporate / programme,Naval Group — site corporate,Naval Group,https://www.naval-group.com/fr,,2026-08-13,preuve_role_industriel,"Documente les activités du groupe dans les sous-marins, bâtiments de surface, systèmes navals et soutien.",verifie
PANEL_SRC_AIRBUS_CORP,AIRBUS,A2 - source primaire corporate,source corporate / programme,Airbus — site corporate,Airbus,https://www.airbus.com/,,2026-08-13,preuve_role_industriel,"Documente les activités d'Airbus dans l'aéronautique, l'espace, les hélicoptères et les activités de défense.",verifie
PANEL_SRC_MBDA_CORP,MBDA,A2 - source primaire corporate,source corporate / programme,MBDA — site corporate,MBDA,https://www.mbda-systems.com/,,2026-08-13,preuve_role_industriel,Documente le positionnement de MBDA dans les systèmes de missiles et effecteurs.,verifie
PANEL_SRC_KNDS_CORP,KNDS FRANCE,A2 - source primaire corporate,source corporate / programme,KNDS — site corporate,KNDS,https://knds.com/,,2026-08-13,preuve_role_industriel,"Documente les activités du groupe dans les systèmes terrestres, l'artillerie, les véhicules blindés et les munitions.",verifie
PANEL_SRC_ARIANE_CORP,ARIANEGROUP,A2 - source primaire corporate,source corporate / programme,ArianeGroup — site corporate,ArianeGroup,https://www.ariane.group/,,2026-08-13,preuve_role_industriel,"Documente les activités du groupe dans les systèmes spatiaux, la propulsion et les systèmes stratégiques.",verifie
PANEL_SRC_JCD_CORP,ARQUUS – JOHN COCKERILL DEFENSE,A2 - source primaire corporate,source corporate / programme,John Cockerill Defense — site corporate,John Cockerill Defense,https://johncockerill.com/en/defense/,,2026-08-13,preuve_role_industriel,Documente les activités de défense terrestre de John Cockerill Defense ; Arquus est intégré au groupe depuis son acquisition.,verifie
PANEL_SRC_CDA_BRF,CHANTIERS DE L’ATLANTIQUE,A2 - source primaire corporate,source corporate / programme,Bâtiments Ravitailleurs de Forces — Chantiers de l’Atlantique,Chantiers de l’Atlantique,https://chantiers-atlantique.com/references/batiments-ravitailleurs-de-forces/,,2026-08-13,preuve_presence_defense_programme,Documente le rôle de Chantiers de l'Atlantique sur les quatre BRF : plateforme propulsée et construction des navires pour la Marine nationale.,verifie
PANEL_SRC_CDA_PANG,CHANTIERS DE L’ATLANTIQUE,A2 - source primaire corporate,source corporate / programme,Lancement en réalisation du PA-NG,Naval Group,https://www.naval-group.com/fr/lancement-en-realisation-du-porte-avions-de-nouvelle-generation-pa-ng,2026-03-18,2026-08-13,preuve_programme_structurant,"Identifie Naval Group, Chantiers de l'Atlantique et TechnicAtome comme industriels maîtres d'œuvre du programme PA-NG.",verifie
PANEL_SRC_TA_NAVAL,TECHNICATOME,A2 - source primaire corporate,source corporate / programme,Ingénierie de conception et de réalisation — nucléaire de défense,TechnicAtome,https://www.technicatome.com/activites/nucleaire-de-defense/ingenierie-de-conception-et-de-realisation/,,2026-08-13,preuve_role_industriel,TechnicAtome indique être maître d'œuvre de la conception et de la réalisation des programmes de réacteurs nucléaires embarqués de propulsion navale.,verifie
PANEL_SRC_TA_SNLE3G,TECHNICATOME,A2 - source primaire corporate,source corporate / programme,SNLE 3G — chaufferies nucléaires embarquées,TechnicAtome,https://www.technicatome.com/realisations/snle-3g/,,2026-08-13,preuve_programme_structurant,Documente la maîtrise d'œuvre par TechnicAtome des chaufferies nucléaires des quatre SNLE de troisième génération.,verifie
PANEL_SRC_EXAIL_DEF,EXAIL TECHNOLOGIES,A2 - source primaire corporate,source corporate / programme,Defense & Security,Exail,https://www.exail.com/defence-security,,2026-08-13,preuve_presence_defense,"Exail présente ses solutions de défense navale et terrestre : navigation, robotique et systèmes de lutte contre les mines, utilisés par des marines et armées.",verifie
PANEL_SRC_EXOSENS_DEF,EXOSENS,A2 - source primaire corporate,source corporate / programme,Défense & Surveillance,Exosens,https://www.exosens.com/fr/markets/defense-surveillance-0,,2026-08-13,preuve_presence_defense,Exosens documente ses technologies de vision nocturne pour la défense et le rôle de Photonis dans les tubes intensificateurs de lumière.,verifie
PANEL_SRC_EURENCO_DEF,EURENCO,A2 - source primaire corporate,source corporate / programme,Nos solutions pour le marché défense,Eurenco,https://eurenco.com/fr/nos-solutions-pour-le-marche-defense-2/,,2026-08-13,preuve_role_industriel,"Eurenco documente la conception et fabrication d'explosifs, poudres, charges propulsives et chargements pour munitions, missiles, bombes et torpilles.",verifie
PANEL_SRC_ROXEL_DEF,ROXEL,A2 - source primaire corporate,source corporate / programme,Roxel — leader européen des systèmes de propulsion tactique,Roxel,https://www.roxelgroup.com/,,2026-08-13,preuve_role_industriel,"Roxel documente le développement et la production de systèmes de propulsion pour missiles et roquettes tactiques et de croisière, avec plusieurs programmes cités.",verifie
